iter	Passed	Remaining
374	1052	1754
375	1055	1751
376	1057	1748
377	1061	1746
378	1064	1744
379	1067	1741
380	1070	1738
381	1072	1734
382	1075	1731
383	1077	1728
384	1079	1724
385	1081	1720
386	1084	1717
387	1086	1713
388	1089	1711
389	1091	1707
390	1094	1705
391	1096	1701
392	1099	1698
393	1102	1695
394	1104	1692
395	1107	1689
396	1110	1686
397	1112	1683
398	1115	1679
399	1117	1676
400	1120	1673
401	1123	1671
402	1125	1667
403	1128	1665
404	1131	1662
405	1133	1658
406	1135	1654
407	1137	1651
408	1141	1649
409	1143	1645
410	1146	1643
411	1149	1640
412	1152	1637
413	1155	1635
414	1157	1632
415	1160	1629
416	1163	1626
417	1165	1622
418	1168	1619
419	1170	1616
420	1173	1614
421	1176	1611
422	1179	1608
423	1182	1606
424	1185	1603
425	1188	1600
426	1190	1597
427	1192	1593
428	1195	1591
429	1198	1588
430	1200	1584
431	1202	1581
432	1205	1578
433	1208	1575
434	1211	1573
435	1214	1570
436	1217	1567
437	1220	1565
438	1223	1563
439	1226	1560
440	1229	1557
441	1231	1554
